"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"RS_196","PUBLISHED","2013","EMR","","AFG","BTSX","4506 [3845-5168]","4506.48700","3845.00300","5167.97200","","",""
"RS_196","PUBLISHED","2009","EMR","","AFG","FMLE","880 [745-1016]","880.02500","744.63660","1015.62800","","",""
"RS_196","PUBLISHED","2011","EMR","","AFG","BTSX","4282 [3627-4937]","4281.59700","3627.42200","4936.77000","","",""
"RS_196","PUBLISHED","2003","EMR","","AFG","FMLE","799 [666-932]","798.98060","665.74230","932.21900","","",""
"RS_196","PUBLISHED","2016","EMR","","AFG","BTSX","5240 [4512-5970]","5240.23500","4511.81200","5969.66000","","",""
"RS_196","PUBLISHED","2003","EMR","","AFG","MLE","2757 [2297-3217]","2757.01900","2297.25800","3216.78100","","",""
"RS_196","PUBLISHED","2013","EMR","","AFG","FMLE","932 [795-1069]","931.98660","795.18500","1068.78800","","",""
"RS_196","PUBLISHED","2019","EMR","","AFG","BTSX","6033 [5227-6846]","6033.16300","5226.85600","6846.28100","","",""
"RS_196","PUBLISHED","2001","EMR","","AFG","FMLE","705 [583-826]","705.02280","583.38380","826.44210","","",""
"RS_196","PUBLISHED","2013","EMR","","AFG","MLE","3575 [3050-4099]","3574.50100","3049.81800","4099.18300","","",""
"RS_196","PUBLISHED","2015","EMR","","AFG","BTSX","4942 [4248-5637]","4942.42500","4247.55300","5637.29600","","",""
"RS_196","PUBLISHED","2006","EMR","","AFG","MLE","3101 [2604-3598]","3101.34500","2604.44400","3598.24500","","",""
"RS_196","PUBLISHED","2019","EMR","","AFG","MLE","4853 [4204-5507]","4852.87700","4204.31100","5506.92300","","",""
"RS_196","PUBLISHED","2008","EMR","","AFG","MLE","3265 [2754-3776]","3264.66400","2753.72700","3775.60000","","",""
"RS_196","PUBLISHED","2015","EMR","","AFG","FMLE","961 [826-1097]","961.44180","826.26950","1096.61400","","",""
"RS_198","PUBLISHED","2017","EMR","","AFG","FMLE","6.0 [5.2-6.8]","5.99219","5.17048","6.81715","","",""
"RS_198","PUBLISHED","2004","EMR","","AFG","MLE","22.8 [19.0-26.5]","22.76968","19.01817","26.51513","","",""
"RS_198","PUBLISHED","2001","EMR","","AFG","BTSX","15.1 [12.5-17.7]","15.11109","12.50395","17.71353","","",""
"RS_198","PUBLISHED","2019","EMR","","AFG","MLE","24.8 [21.5-28.2]","24.84867","21.52775","28.19764","","",""
"RS_198","PUBLISHED","2012","EMR","","AFG","FMLE","5.9 [5.0-6.7]","5.85804","4.97818","6.73927","","",""
"RS_198","PUBLISHED","2018","EMR","","AFG","BTSX","14.2 [12.3-16.2]","14.24515","12.31653","16.18567","","",""
"RS_198","PUBLISHED","2019","EMR","","AFG","BTSX","15.9 [13.7-18.0]","15.85932","13.73979","17.99675","","",""
"RS_198","PUBLISHED","2015","EMR","","AFG","FMLE","5.7 [4.9-6.6]","5.74769","4.93961","6.55578","","",""
"RS_198","PUBLISHED","2016","EMR","","AFG","BTSX","14.8 [12.8-16.9]","14.81002","12.75135","16.87153","","",""
"RS_198","PUBLISHED","2000","EMR","","AFG","FMLE","6.6 [5.4-7.7]","6.57997","5.42165","7.74049","","",""
"RS_198","PUBLISHED","2010","EMR","","AFG","MLE","22.1 [18.8-25.5]","22.13791","18.75916","25.52192","","",""
"RS_198","PUBLISHED","2007","EMR","","AFG","BTSX","15.0 [12.6-17.3]","14.95585","12.59284","17.32253","","",""
